# tracer: nop
#
# entries-in-buffer/entries-written: 6122/6122   #P:32
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    crosvm_vcpu0-96568   [010] ..... 16655.957244: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957278: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957312: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957346: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957380: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957414: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957448: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957585: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957623: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957898: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957932: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957966: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958000: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958034: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958068: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958102: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958136: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958171: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958205: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958239: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958273: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958307: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958341: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958375: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958409: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958443: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958580: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958617: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958652: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958925: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958959: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.958993: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.959027: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.959062: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.959096: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
